source	contract	event_topic_0	event_topic_1	classified_by_decoder	persisted_to_table	tested	notes
soroswap	pair (any)	SoroswapPair (String)	swap	yes	trades	unit	pair contract emits swap+sync; correlated by buffer
soroswap	pair (any)	SoroswapPair (String)	sync	yes	(joined to swap for trades)	unit	paired with swap
soroswap	pair (any)	SoroswapPair (String)	deposit	yes	(decoder returns nil — not a trade)	unit	deposit doesn't feed trades but is recognised
soroswap	pair (any)	SoroswapPair (String)	withdraw	yes	(decoder returns nil — not a trade)	unit	same
soroswap	pair (any)	SoroswapPair (String)	skim	yes	soroswap_skim_events	unit	rc.78 #28; backfill subcommand exists
soroswap	factory	SoroswapFactory (String)	new_pair	yes	(seeds soroswap_pairs registry)	unit	factory-only
soroswap_router	CAG5LRYQ... (Mainnet)	(ContractCallDecoder)	swap_exact_tokens_for_tokens	yes	routers + price_source_contributions	unit	NEW; admin functions explicitly out of scope per events.go
soroswap_router	CAG5LRYQ... (Mainnet)	(ContractCallDecoder)	swap_tokens_for_exact_tokens	yes	routers + price_source_contributions	unit	NEW; same
phoenix	pool (any)	swap (String)	(8 field-name topics)	yes	trades	unit	8-event reassembly; correlation buffer
phoenix	pool (any)	provide_liquidity (String)	(5 field-name topics)	yes	phoenix_liquidity	unit	rc.80 #27
phoenix	pool (any)	withdraw_liquidity (String)	(4-5 field-name topics)	yes	phoenix_liquidity	unit	#27; optional auto-unbonded 5th
phoenix	stake (any)	bond (String)	(3 field-name topics)	yes	phoenix_stake_events	unit	#27
phoenix	stake (any)	unbond (String)	(3 field-name topics)	yes	phoenix_stake_events	unit	#27
aquarius	pool (any)	trade (Symbol)	—	yes	trades	unit	trade event triple-topic (in_token, out_token, user)
aquarius	pool (any)	deposit_liquidity (Symbol)	—	yes	(decoder returns nil)	unit	classified but not persisted as trade
aquarius	pool (any)	withdraw_liquidity (Symbol)	—	yes	(decoder returns nil)	unit	same
aquarius	pool (any)	update_reserves (Symbol)	—	yes	(decoder returns nil)	unit	same
comet	pool (any)	POOL (Symbol)	swap	yes	trades	unit	rc.80 #26; 5/5 events now claimed
comet	pool (any)	POOL (Symbol)	join_pool	yes	comet_liquidity	unit	#26
comet	pool (any)	POOL (Symbol)	exit_pool	yes	comet_liquidity	unit	#26
comet	pool (any)	POOL (Symbol)	deposit	yes	comet_liquidity	unit	#26
comet	pool (any)	POOL (Symbol)	withdraw	yes	comet_liquidity	unit	#26
blend	pool money-market	supply (Symbol)	—	yes	blend_positions	unit	rc.80 #25
blend	pool money-market	withdraw (Symbol)	—	yes	blend_positions	unit	#25
blend	pool money-market	supply_collateral (Symbol)	—	yes	blend_positions	unit	#25
blend	pool money-market	withdraw_collateral (Symbol)	—	yes	blend_positions	unit	#25
blend	pool money-market	borrow (Symbol)	—	yes	blend_positions	unit	#25
blend	pool money-market	repay (Symbol)	—	yes	blend_positions	unit	#25
blend	pool money-market	flash_loan (Symbol)	—	yes	blend_positions	unit	#25
blend	pool	gulp (Symbol)	—	yes	blend_emissions	unit	#25
blend	pool	claim (Symbol)	—	yes	blend_emissions	unit	#25
blend	pool	reserve_emission_update (Symbol)	—	yes	blend_emissions	unit	#25
blend	pool	gulp_emissions (Symbol)	—	yes	blend_emissions	unit	#25
blend	pool	bad_debt (Symbol)	—	yes	blend_emissions	unit	#25
blend	pool	defaulted_debt (Symbol)	—	yes	blend_emissions	unit	#25
blend	pool	set_admin (Symbol)	—	yes	blend_admin	unit	#25
blend	pool	update_pool (Symbol)	—	yes	blend_admin	unit	#25
blend	pool	queue_set_reserve (Symbol)	—	yes	blend_admin	unit	#25
blend	pool	cancel_set_reserve (Symbol)	—	yes	blend_admin	unit	#25
blend	pool	set_reserve (Symbol)	—	yes	blend_admin	unit	#25
blend	pool	set_status (Symbol)	—	yes	blend_admin	unit	#25
blend	pool factory	deploy (Symbol)	—	yes	blend_admin	unit	#25 (factory event)
blend	pool	new_auction (Symbol)	—	yes	blend_auctions (legacy)	unit	pre-#25
blend	pool	fill_auction (Symbol)	—	yes	blend_auctions (legacy)	unit	pre-#25
blend	pool	delete_auction (Symbol)	—	yes	blend_auctions (legacy)	unit	pre-#25
reflector	DEX contract	REFLECTOR (Symbol)	update	yes	oracle_updates / oracle_prices_*	unit	one of three contracts
reflector	CEX contract	REFLECTOR (Symbol)	update	yes	oracle_updates / oracle_prices_*	unit	—
reflector	FX contract	REFLECTOR (Symbol)	update	yes	oracle_updates / oracle_prices_*	unit	—
