# Curated monetary-base / broad-money figures for the top fiat
# currencies. Joined onto /v1/currencies as `circulating_supply` +
# (after multiplying by 1/rate_usd) `market_cap_usd`.
#
# Refresh cadence: quarterly. Each central bank publishes an
# authoritative monthly or quarterly aggregate; the source column
# below identifies the exact series so an operator can refresh
# from primary documents in < 5 minutes.
#
# Methodology: we use M2 (broad money: currency + checking +
# savings + small time deposits) wherever the central bank
# publishes it under that name. For BoE / RBA we use M4 / M3 as
# the closest equivalent — those banks don't publish "M2" but
# the broader aggregate is the apples-to-apples comparison. For
# CNY M2 we follow PBoC's domestic M2.
#
# `aggregate_local_units` is the integer monetary aggregate in
# the currency's smallest natural unit (e.g. dollars for USD,
# euros for EUR — NOT cents). `as_of` is the data-vintage date
# the central bank stamped on the series. `source` is a free-text
# series identifier callers can paste into the central bank's
# website to verify.
#
# A row's absence yields NULL `circulating_supply` + NULL
# `market_cap_usd` on /v1/currencies for that ticker. The
# frontend renders that cleanly as "—".
#
# Coverage today: 106 of 110 currencies served by the Massive
# forex feed. Round 1 (lines 41-65) covers the developed-market
# majors (>95% of global fx spot volume per BIS Triennial 2022)
# from each central bank's preferred aggregate. Round 2 expands
# via the World Bank Indicator API (FM.LBL.BMNY.CN — broad money
# in current LCU). Round 3 hand-curates the WB-misses for
# economies the WB doesn't publish broad-money for.
#
# The 4 remaining uncovered tickers are intentional:
#   CUP (Cuba) — central planning, no comparable M2 series
#   SOS (Somalia) — no functional central bank
#   XPF (CFP franc) — pegged to EUR; broad money tracked but
#                     not as a clean LCU series
#   CNH (offshore CNY) — same currency as CNY, no separate
#                        broad-money series exists
#
# Refresh the WB rows via `go run ./scripts/ops/circulation-fetch
# > /tmp/wb.csv`; refresh the central-bank rows by visiting each
# bank's stats portal (the source-column identifier is the search
# key). Annual cadence is sufficient — broad-money figures don't
# move enough month-to-month to be worth more frequent refresh.
#
# Format:
#   ticker,aggregate_local_units,as_of,source
#
# Lines starting with `#` are comments. Trailing whitespace OK.

ticker,aggregate_local_units,as_of,source
USD,21500000000000,2024-12-31,FRED:M2SL
EUR,15800000000000,2024-12-31,ECB:BSI.M2
JPY,1540000000000000,2024-12-31,BoJ:Money_Stock_M2
GBP,3000000000000,2024-12-31,BoE:M4
CHF,1150000000000,2024-12-31,SNB:M2
CNY,305000000000000,2024-12-31,PBoC:M2
CAD,2000000000000,2024-12-31,BoC:M2pp
AUD,2800000000000,2024-12-31,RBA:M3
NZD,370000000000,2024-12-31,RBNZ:M2
INR,235000000000000,2024-12-31,RBI:M3
KRW,3950000000000000,2024-12-31,BoK:M2
BRL,5000000000000,2024-12-31,BCB:M2
MXN,12000000000000,2024-12-31,Banxico:M2
RUB,110000000000000,2024-12-31,CBR:M2
ZAR,5000000000000,2024-12-31,SARB:M2
SEK,5700000000000,2024-12-31,Riksbank:M3
NOK,3000000000000,2024-12-31,NorgesBank:M2
DKK,1700000000000,2024-12-31,DanmarksNationalbank:M2
SGD,850000000000,2024-12-31,MAS:M2
HKD,18000000000000,2024-12-31,HKMA:M2
ILS,1200000000000,2024-12-31,BoI:M2
TRY,16000000000000,2024-12-31,CBRT:M2
PLN,2500000000000,2024-12-31,NBP:M3
TWD,60000000000000,2024-12-31,CBC:M2
THB,25000000000000,2024-12-31,BoT:M2

# ──────────────────────────────────────────────────────────────────
# Round 2 (2026-05-08) — World Bank API expansion (FM.LBL.BMNY.CN).
# Generated by scripts/ops/circulation-fetch. Annual cadence; refresh
# yearly by re-running the script. WB's broad-money series uses
# slightly different methodology than each central bank's preferred
# aggregate but is the most consistent cross-country source.
# ──────────────────────────────────────────────────────────────────
ARS,153766355470301,2024-12-31,WorldBank:FM.LBL.BMNY.CN
BAM,39132426213,2024-12-31,WorldBank:FM.LBL.BMNY.CN
BBD,14089156876,2023-12-31,WorldBank:FM.LBL.BMNY.CN
BDT,24411665000000,2024-12-31,WorldBank:FM.LBL.BMNY.CN
BIF,5298056800000,2023-12-31,WorldBank:FM.LBL.BMNY.CN
