file_path	file_kind	workstream	status	evidence_refs	notes
.github/PULL_REQUEST_TEMPLATE.md	documentation	W01	todo		
.github/RELEASE_NOTES_TEMPLATE.md	documentation	W01	todo		
.github/dependabot.yml	config	W04	todo		
.github/workflows/api-audit.yml	workflow	W03	todo		
.github/workflows/api-docs.yml	workflow	W03	todo		
.github/workflows/ci.yml	workflow	W03	todo		
.github/workflows/deploy.yml	workflow	W03	todo		
.github/workflows/docs-deploy.yml	workflow	W03	todo		
.github/workflows/explorer-deploy.yml	workflow	W03	todo		
.github/workflows/k6-weekly.yml	workflow	W03	todo		
.github/workflows/release-validate.yml	workflow	W03	todo		
.github/workflows/release.yml	workflow	W03	todo		
.github/workflows/status-page.yml	workflow	W03	todo		
.gitignore	config	W01	todo		
.gitleaks.toml	config	W01	todo		
.golangci.yml	config	W03	todo		
.spectral.yaml	config	W03	todo		
AGENTS.md	documentation	W01	todo		
CHANGELOG.md	documentation	W01	todo		
CLAUDE.md	documentation	W01	todo		
CODEOWNERS	policy	W01	todo		
CODE_OF_CONDUCT.md	documentation	W01	todo		
CONTRIBUTING.md	documentation	W01	todo		
LICENSE	policy	W01	todo		
Makefile	config	W01	todo		
README.md	documentation	W01	todo		
SECURITY.md	documentation	W01	todo		
VERSIONS.md	documentation	W01	todo		
cmd/ratesengine-aggregator/change_summary.go	runtime	W13	todo		
cmd/ratesengine-aggregator/contribution_sink.go	runtime	W13	todo		
cmd/ratesengine-aggregator/main.go	runtime	W13	todo		
cmd/ratesengine-aggregator/main_test.go	test	W13	todo		
cmd/ratesengine-api/main.go	runtime	W13	todo		
cmd/ratesengine-api/main_test.go	test	W13	todo		
cmd/ratesengine-indexer/main.go	runtime	W13	todo		
cmd/ratesengine-indexer/main_test.go	test	W13	todo		
cmd/ratesengine-migrate/main.go	runtime	W13	todo		
cmd/ratesengine-ops/backfill.go	runtime	W29	todo		
cmd/ratesengine-ops/backfill_chainlink.go	runtime	W29	todo		
cmd/ratesengine-ops/backfill_test.go	test	W29	todo		
cmd/ratesengine-ops/blend_backfill.go	runtime	W29	todo		
cmd/ratesengine-ops/cctp_backfill.go	runtime	W29	todo		
cmd/ratesengine-ops/comet_liquidity_backfill.go	runtime	W29	todo		
cmd/ratesengine-ops/cross_region_check.go	runtime	W13	todo		
cmd/ratesengine-ops/cross_region_check_test.go	test	W13	todo		
cmd/ratesengine-ops/cross_region_monitor.go	runtime	W13	todo		
cmd/ratesengine-ops/cross_region_monitor_test.go	test	W13	todo		
cmd/ratesengine-ops/discovery.go	runtime	W13	todo		
cmd/ratesengine-ops/emit_incident.go	runtime	W13	todo		
cmd/ratesengine-ops/emit_incident_test.go	test	W13	todo		
cmd/ratesengine-ops/hubble_check.go	runtime	W13	todo		
cmd/ratesengine-ops/hubble_check_test.go	test	W13	todo		
cmd/ratesengine-ops/hubble_soroban_events.go	runtime	W13	todo		
cmd/ratesengine-ops/hubble_soroban_events_test.go	test	W13	todo		
cmd/ratesengine-ops/main.go	runtime	W13	todo		
cmd/ratesengine-ops/mint_key.go	runtime	W13	todo		
cmd/ratesengine-ops/phoenix_backfill.go	runtime	W29	todo		
cmd/ratesengine-ops/rehydrate_galexie_archive.go	runtime	W13	todo		
cmd/ratesengine-ops/rehydrate_galexie_archive_test.go	test	W13	todo		
cmd/ratesengine-ops/rozo_backfill.go	runtime	W29	todo		
cmd/ratesengine-ops/seed_entry_counts.go	runtime	W13	todo		
cmd/ratesengine-ops/seed_soroswap_pairs.go	runtime	W13	todo		
cmd/ratesengine-ops/sep1_refresh.go	runtime	W13	todo		
cmd/ratesengine-ops/soroswap_skim_backfill.go	runtime	W29	todo		
cmd/ratesengine-ops/supply.go	runtime	W13	todo		
cmd/ratesengine-ops/trim_galexie_archive.go	runtime	W13	todo		
cmd/ratesengine-ops/trim_galexie_archive_test.go	test	W13	todo		
cmd/ratesengine-ops/upgrade_key.go	runtime	W13	todo		
cmd/ratesengine-ops/verify_archive_chunks.go	runtime	W34	todo		
cmd/ratesengine-ops/verify_archive_chunks_integration_test.go	test	W34	todo		
cmd/ratesengine-ops/verify_archive_chunks_test.go	test	W34	todo		
cmd/ratesengine-ops/verify_archive_state.go	runtime	W34	todo		
cmd/ratesengine-ops/verify_archive_state_test.go	test	W34	todo		
cmd/ratesengine-ops/wasm_extract.go	runtime	W13	todo		
cmd/ratesengine-ops/wasm_extract_test.go	test	W13	todo		
cmd/ratesengine-ops/wasm_history_test.go	test	W13	todo		
cmd/ratesengine-sla-probe/main.go	runtime	W13	todo		
cmd/ratesengine-sla-probe/main_test.go	test	W13	todo		
cmd/ratesengine-sla-probe/textfile.go	runtime	W13	todo		
cmd/ratesengine-sla-probe/textfile_test.go	test	W13	todo		
commitlint.config.js	frontend	W01	todo		
configs/alertmanager/README.md	config	W14	todo		
configs/alertmanager/alertmanager.r1.yml	config	W14	todo		
configs/alertmanager/apply.sh	config	W14	todo		
configs/ansible/README.md	config	W18	todo		
configs/ansible/ansible.cfg	config	W18	todo		
configs/ansible/inventory/r1.example.yml	config	W18	todo		
configs/ansible/inventory/r2.example.yml	config	W18	todo		
configs/ansible/inventory/r3.example.yml	config	W18	todo		
configs/ansible/playbooks/archival-node.yml	config	W18	todo		
configs/ansible/playbooks/deploy-binary.yml	config	W18	todo		
configs/ansible/playbooks/monitoring.yml	config	W18	todo		
configs/ansible/requirements.yml	config	W18	todo		
configs/ansible/roles/archival-node/defaults/main.yml	config	W18	todo		
configs/ansible/roles/archival-node/files/compute-archive-to.sh	config	W18	todo		
configs/ansible/roles/archival-node/files/compute-trim-cutoff.sh	config	W18	todo		
configs/ansible/roles/archival-node/files/galexie-append.sh	config	W18	todo		
configs/ansible/roles/archival-node/files/galexie-archive-fill.sh	config	W18	todo		
configs/ansible/roles/archival-node/files/galexie-archive-tip-lag.sh	config	W18	todo		
configs/ansible/roles/archival-node/files/galexie-backfill-status.sh	config	W18	todo		
configs/ansible/roles/archival-node/files/node-healthcheck.sh	config	W18	todo		
configs/ansible/roles/archival-node/handlers/main.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/01-preflight.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/02-kernel.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/03-zfs.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/04-users.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/05-postgres.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/06-stellar-core.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/07-galexie.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/09-minio.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/10-observability.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/11-firewall.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/12-hardening.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/13-healthcheck.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/14-ratesengine-services.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/15-log-discipline.yml	config	W18	todo		
configs/ansible/roles/archival-node/tasks/main.yml	config	W18	todo		
configs/ansible/roles/archival-node/templates/galexie-backfill.toml.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/galexie.toml.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/minio.env.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/nftables.conf.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/pg_hba.conf.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/postgresql.conf.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/ratesengine.env.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/ratesengine.toml.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/sshd_config.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/stellar-core.cfg.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/archive-completeness.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/archive-completeness.timer.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/galexie-archive-fill.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/galexie-archive-fill.timer.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/galexie-archive-tip-lag.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/galexie-archive-tip-lag.timer.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/galexie-archive-trim.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/galexie-archive-trim.timer.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/galexie.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/minio.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/node-healthcheck.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/node-healthcheck.timer.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/ratesengine-aggregator.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/ratesengine-api.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/ratesengine-indexer.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/stellar-core.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/supply-snapshot.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/supply-snapshot.timer.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/verify-archive-tier-a.service.j2	config	W18	todo		
configs/ansible/roles/archival-node/templates/systemd/verify-archive-tier-a.timer.j2	config	W18	todo		
configs/ansible/roles/haproxy/README.md	config	W18	todo		
configs/ansible/roles/haproxy/defaults/main.yml	config	W18	todo		
configs/ansible/roles/haproxy/handlers/main.yml	config	W18	todo		
configs/ansible/roles/haproxy/meta/main.yml	config	W18	todo		
configs/ansible/roles/haproxy/tasks/01-preflight.yml	config	W18	todo		
configs/ansible/roles/haproxy/tasks/02-install.yml	config	W18	todo		
configs/ansible/roles/haproxy/tasks/03-haproxy-configure.yml	config	W18	todo		
configs/ansible/roles/haproxy/tasks/04-keepalived-configure.yml	config	W18	todo		
configs/ansible/roles/haproxy/tasks/05-systemd.yml	config	W18	todo		
configs/ansible/roles/haproxy/tasks/06-firewall.yml	config	W18	todo		
configs/ansible/roles/haproxy/tasks/07-monitoring.yml	config	W18	todo		
configs/ansible/roles/haproxy/tasks/main.yml	config	W18	todo		
configs/ansible/roles/haproxy/templates/haproxy-systemd-override.conf.j2	config	W18	todo		
configs/ansible/roles/haproxy/templates/haproxy.cfg.j2	config	W18	todo		
configs/ansible/roles/haproxy/templates/keepalived.conf.j2	config	W18	todo		
configs/ansible/roles/loki/README.md	config	W18	todo		
configs/ansible/roles/loki/defaults/main.yml	config	W18	todo		
configs/ansible/roles/loki/handlers/main.yml	config	W18	todo		
configs/ansible/roles/loki/meta/main.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/agent-01-install.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/agent-02-configure.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/agent-03-systemd.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/main.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/server-01-preflight.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/server-02-install.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/server-03-configure.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/server-04-systemd.yml	config	W18	todo		
configs/ansible/roles/loki/tasks/server-05-firewall.yml	config	W18	todo		
configs/ansible/roles/loki/templates/loki-config.yaml.j2	config	W18	todo		
configs/ansible/roles/loki/templates/loki.service.j2	config	W18	todo		
configs/ansible/roles/loki/templates/promtail-config.yaml.j2	config	W18	todo		
configs/ansible/roles/loki/templates/promtail.service.j2	config	W18	todo		
configs/ansible/roles/patroni/README.md	config	W18	todo		
configs/ansible/roles/patroni/defaults/main.yml	config	W18	todo		
configs/ansible/roles/patroni/handlers/main.yml	config	W18	todo		
configs/ansible/roles/patroni/meta/main.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/01-preflight.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/02-etcd-install.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/03-etcd-configure.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/04-etcd-systemd.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/05-patroni-install.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/06-patroni-configure.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/07-patroni-systemd.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/08-patroni-bootstrap.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/09-patroni-join.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/10-firewall.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/11-monitoring.yml	config	W18	todo		
configs/ansible/roles/patroni/tasks/main.yml	config	W18	todo		
configs/ansible/roles/patroni/templates/etcd.conf.j2	config	W18	todo		
configs/ansible/roles/patroni/templates/etcd.service.j2	config	W18	todo		
configs/ansible/roles/patroni/templates/patroni.service.j2	config	W18	todo		
configs/ansible/roles/patroni/templates/patroni.yml.j2	config	W18	todo		
configs/ansible/roles/prometheus/README.md	config	W18	todo		
configs/ansible/roles/prometheus/defaults/main.yml	config	W18	todo		
configs/ansible/roles/prometheus/handlers/main.yml	config	W18	todo		
configs/ansible/roles/prometheus/meta/main.yml	config	W18	todo		
configs/ansible/roles/prometheus/tasks/01-preflight.yml	config	W18	todo		
configs/ansible/roles/prometheus/tasks/02-install.yml	config	W18	todo		
configs/ansible/roles/prometheus/tasks/03-prometheus-configure.yml	config	W18	todo		
configs/ansible/roles/prometheus/tasks/04-alertmanager-configure.yml	config	W18	todo		
configs/ansible/roles/prometheus/tasks/05-systemd.yml	config	W18	todo		
configs/ansible/roles/prometheus/tasks/06-firewall.yml	config	W18	todo		
configs/ansible/roles/prometheus/tasks/07-monitoring.yml	config	W18	todo		
configs/ansible/roles/prometheus/tasks/main.yml	config	W18	todo		
configs/ansible/roles/prometheus/templates/alertmanager.service.j2	config	W18	todo		
configs/ansible/roles/prometheus/templates/alertmanager.yml.j2	config	W18	todo		
configs/ansible/roles/prometheus/templates/prometheus.service.j2	config	W18	todo		
configs/ansible/roles/prometheus/templates/prometheus.yml.j2	config	W18	todo		
configs/ansible/roles/redis-sentinel/README.md	config	W18	todo		
configs/ansible/roles/redis-sentinel/defaults/main.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/handlers/main.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/meta/main.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/tasks/01-preflight.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/tasks/02-install.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/tasks/03-redis-configure.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/tasks/04-sentinel-configure.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/tasks/05-systemd.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/tasks/06-firewall.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/tasks/07-monitoring.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/tasks/main.yml	config	W18	todo		
configs/ansible/roles/redis-sentinel/templates/redis-systemd-override.conf.j2	config	W18	todo		
configs/ansible/roles/redis-sentinel/templates/redis.conf.j2	config	W18	todo		
configs/ansible/roles/redis-sentinel/templates/sentinel.conf.j2	config	W18	todo		
configs/ansible/roles/redis-sentinel/templates/users.acl.j2	config	W18	todo		
configs/ansible/tasks/deploy-one-binary.yml	config	W18	todo		
configs/audit/README.md	config	W24	todo		
configs/audit/wasm-walk-contracts.yaml	config	W24	todo		
configs/caddy/Caddyfile.api	config	W19	todo		
configs/caddy/README.md	config	W19	todo		
configs/example.toml	config	W18	todo		
configs/healthchecks/README.md	config	W14	todo		
configs/healthchecks/heartbeat.sh	config	W14	todo		
configs/healthchecks/install.sh	config	W14	todo		
configs/healthchecks/ratesengine-heartbeat@.service	config	W14	todo		
configs/healthchecks/ratesengine-heartbeat@.timer	config	W14	todo		
configs/healthchecks/ratesengine-sla-probe.service	config	W14	todo		
configs/healthchecks/ratesengine-sla-probe.timer	config	W14	todo		
configs/healthchecks/ratesengine-smoke.service	config	W14	todo		
configs/healthchecks/ratesengine-smoke.timer	config	W14	todo		
configs/healthchecks/sla-probe.sh	config	W14	todo		
configs/healthchecks/smoke.sh	config	W14	todo		
configs/loki/README.md	config	W14	todo		
configs/loki/loki.r1.yml	config	W14	todo		
configs/loki/promtail.r1.yml	config	W14	todo		
configs/prometheus/README.md	config	W14	todo		
configs/prometheus/prometheus.r1.yml	config	W14	todo		
configs/prometheus/rules.r1/README.md	config	W14	todo		
configs/prometheus/rules.r1/aggregator.yml	config	W14	todo		
configs/prometheus/rules.r1/anomaly.yml	config	W14	todo		
configs/prometheus/rules.r1/api.yml	config	W14	todo		
configs/prometheus/rules.r1/archive-completeness.yml	config	W14	todo		
configs/prometheus/rules.r1/cache.yml	config	W14	todo		
configs/prometheus/rules.r1/divergence.yml	config	W14	todo		
configs/prometheus/rules.r1/external-pollers.yml	config	W14	todo		
configs/prometheus/rules.r1/galexie-archive.yml	config	W14	todo		
configs/prometheus/rules.r1/infra.yml	config	W14	todo		
configs/prometheus/rules.r1/ingestion.yml	config	W14	todo		
configs/prometheus/rules.r1/ledgerstream-tier.yml	config	W14	todo		
configs/prometheus/rules.r1/meta.yml	config	W14	todo		
configs/prometheus/rules.r1/sla-probe.yml	config	W14	todo		
configs/prometheus/rules.r1/slo.yml	config	W14	todo		
configs/prometheus/rules.r1/stellar.yml	config	W14	todo		
configs/prometheus/rules.r1/storage.yml	config	W14	todo		
configs/prometheus/rules.r1/supply-refresh.yml	config	W14	todo		
configs/prometheus/rules.r1/supply-snapshot.yml	config	W14	todo		
configs/prometheus/rules.r1/supply.yml	config	W14	todo		
configs/prometheus/rules.r1/verify-archive.yml	config	W14	todo		
deploy/comms/README.md	config	W18	todo		
deploy/comms/incident-update.md	config	W18	todo		
deploy/comms/launch-announcement.md	config	W18	todo		
deploy/comms/maintenance-window.md	config	W18	todo		
deploy/comms/onboarding-email.md	config	W18	todo		
deploy/comms/rollback-update.md	config	W18	todo		
deploy/docker-compose/.env.example	config	W18	todo		
deploy/docker-compose/README.md	config	W18	todo		
deploy/docker-compose/dev.yaml	config	W18	todo		
deploy/docker-compose/init/00-timescale-extension.sql	config	W18	todo		
deploy/monitoring/README.md	config	W14	todo		
deploy/monitoring/rules/aggregator.yml	config	W14	todo		
