path	top_level	audit_unit	status	evidence_refs	cross_refs	notes
AGENTS.md	(root)	AGENTS.md	done	EV-0043		Root governance/control surface covered by inventory/docs-truth pass.
CHANGELOG.md	(root)	CHANGELOG.md	done	EV-0043		Root governance/control surface covered by inventory/docs-truth pass.
CLAUDE.md	(root)	CLAUDE.md	done	EV-0006,EV-0007	XREF-0003	Repo map still marks live packages as planned; later sections partially updated.
CODEOWNERS	(root)	CODEOWNERS	done	EV-0009		Ownership map still includes prerelease packaging surface `.goreleaser.yaml`.
CODE_OF_CONDUCT.md	(root)	CODE_OF_CONDUCT.md	done	EV-0043		Root governance/control surface covered by inventory/docs-truth pass.
CONTRIBUTING.md	(root)	CONTRIBUTING.md	done	EV-0002		Local full-stack instructions drift from live `make dev` target.
LICENSE	(root)	LICENSE	done	EV-0043		Root governance/control surface covered by inventory/docs-truth pass.
Makefile	(root)	Makefile	done	EV-0002		`make dev` target documents actual local stack and remote `r1` dependency.
README.md	(root)	README.md	done	EV-0043		Root governance/control surface covered by inventory/docs-truth pass.
SECURITY.md	(root)	SECURITY.md	done	EV-0043		Root governance/control surface covered by inventory/docs-truth pass.
VERSIONS.md	(root)	VERSIONS.md	done	EV-0010	XREF-0006	Pinned snapshot doc reviewed against live CI/local tool-fetch behavior.
cmd/ratesengine-aggregator/main.go	cmd	cmd/ratesengine-aggregator	done	EV-0017	XREF-0013	Triangulation and anomaly/baseline wiring reviewed against current API serving path.
cmd/ratesengine-api/main.go	cmd	cmd/ratesengine-api	done	EV-0004,EV-0005,EV-0011,EV-0026	XREF-0002,XREF-0007,XREF-0019	Runtime auth wiring, route drift, rate-limit construction, and missing F2 supply wiring reviewed.
cmd/ratesengine-indexer/main.go	cmd	cmd/ratesengine-indexer	done	EV-0007,EV-0028,EV-0029,EV-0030,EV-0031,EV-0032	XREF-0001,XREF-0003,XREF-0021,XREF-0022,XREF-0023,XREF-0024,XREF-0025	Production ingest path reviewed; shared processor currently lets rejected ledgers advance the persisted cursor, discovery/decode-orphan/source-health observability claims are partially reviewed against live wiring, and the cursor gauge call site now shows a live label-cardinality defect.
cmd/ratesengine-migrate/main.go	cmd	cmd/ratesengine-migrate	done	EV-0008	XREF-0004	Reviewed supported migration subcommands and post-up/status behavior.
cmd/ratesengine-ops/backfill.go	cmd	cmd/ratesengine-ops	done	EV-0013,EV-0028	XREF-0009,XREF-0021	Replay/idempotency claims reviewed against trade storage identity and shared processor cursor-advance semantics.
cmd/ratesengine-ops/backfill_test.go	cmd	cmd/ratesengine-ops	done	EV-0039		Covered by completed repository test run for this snapshot.
cmd/ratesengine-ops/cross_region_check.go	cmd	cmd/ratesengine-ops	done	EV-0022	XREF-0016	Cross-region consistency checker compares only a reduced subset of the public payload.
cmd/ratesengine-ops/cross_region_check_test.go	cmd	cmd/ratesengine-ops	done	EV-0022	XREF-0016	Tests assert price-only divergence behavior for VWAP/TWAP and broader field comparison only for OHLC.
cmd/ratesengine-ops/cross_region_monitor.go	cmd	cmd/ratesengine-ops	done	EV-0022	XREF-0016	Long-running monitor reuses the same reduced comparison path as the one-shot checker.
cmd/ratesengine-ops/cross_region_monitor_test.go	cmd	cmd/ratesengine-ops	done	EV-0022,EV-0024	XREF-0016	Monitor tests confirm the same price-only comparison model and fetch-error accounting as the live daemon path.
cmd/ratesengine-ops/discovery.go	cmd	cmd/ratesengine-ops	done	EV-0030	XREF-0023	Operator discovery surface reviewed; it lists persisted discovered-assets rows but does not expose live discovery-drop pressure.
cmd/ratesengine-ops/hubble_check.go	cmd	cmd/ratesengine-ops	done	EV-0039		Operator CLI surface covered by code review plus full-suite verification.
cmd/ratesengine-ops/hubble_check_test.go	cmd	cmd/ratesengine-ops	done	EV-0039		Covered by completed repository test run for this snapshot.
cmd/ratesengine-ops/hubble_soroban_events.go	cmd	cmd/ratesengine-ops	done	EV-0039		Operator CLI surface covered by code review plus full-suite verification.
cmd/ratesengine-ops/hubble_soroban_events_test.go	cmd	cmd/ratesengine-ops	done	EV-0039		Covered by completed repository test run for this snapshot.
cmd/ratesengine-ops/main.go	cmd	cmd/ratesengine-ops	done	EV-0022	XREF-0016	CLI help and subcommand wiring reviewed for the operator-facing cross-region contract claims.
cmd/ratesengine-ops/supply.go	cmd	cmd/ratesengine-ops	done	EV-0026	XREF-0019	Operator supply audit flow reviewed against live snapshot table wiring assumptions.
cmd/ratesengine-ops/verify_archive_chunks.go	cmd	cmd/ratesengine-ops	done	EV-0039		Operator CLI surface covered by code review plus full-suite verification.
cmd/ratesengine-ops/verify_archive_chunks_integration_test.go	cmd	cmd/ratesengine-ops	done	EV-0039		Covered by completed repository test run for this snapshot.
cmd/ratesengine-ops/verify_archive_chunks_test.go	cmd	cmd/ratesengine-ops	done	EV-0039		Covered by completed repository test run for this snapshot.
cmd/ratesengine-ops/wasm_history_test.go	cmd	cmd/ratesengine-ops	done	EV-0039		Covered by completed repository test run for this snapshot.
commitlint.config.js	(root)	commitlint.config.js	done	EV-0043		Root governance/control surface covered by inventory/docs-truth pass.
configs/ansible/README.md	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/ansible.cfg	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/inventory/r1.example.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/inventory/r2.example.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/inventory/r3.example.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/playbooks/archival-node.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/requirements.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/defaults/main.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/files/galexie-append.sh	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/files/galexie-archive-fill.sh	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/files/galexie-backfill-status.sh	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/files/node-healthcheck.sh	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/handlers/main.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/01-preflight.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/02-kernel.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/03-zfs.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/04-users.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
